source,match_status,dashboard_building_id,dashboard_building,dashboard_address,costar_property_id,costar_property_name,costar_address
CoStar,Exact address,PHL-CBD-0001,Widener Building,1339 Chestnut St,300306,Widener Building,1339 Chestnut St
CoStar,Exact address,PHL-CBD-0062,The West Tower,3025 JFK,11811382,West Tower,3025 JFK
CoStar,Exact address,PHL-CBD-0011,Four Penn Center,1600 John F Kennedy Blvd,300177,Four Penn Center,1600 John F Kennedy Blvd
CoStar,Exact address,PHL-CBD-0126,907 Market St,907 Market St,641613,,907 Market St
CoStar,Exact address,PHL-CBD-0006,Jefferson Tower,1101 Market St,85455,Jefferson Center,1101 Market St
CoStar,Shared address - best name match,PHL-CBD-0009,Centre Square- East Tower,1500 Market St,899766,Centre Square- East Tower,1500 Market St
CoStar,Exact address,PHL-CBD-0047,3020 Market St,3020 Market St,302031,,3020 Market St
CoStar,Exact address,PHL-CBD-0129,3101 Market St,3101 Market St,7231178,,3101 Market St
CoStar,Exact address,PHL-CBD-0058,3151 Market St,3151 Market St,11567011,,3151 Market St
CoStar,Exact address,PHL-CBD-0105,1845 Walnut St,1845 Walnut St,300219,,1845 Walnut St
CoStar,Exact address,PHL-CBD-0033,FMC Tower at Cira Centre South,2929 Walnut St,6357904,FMC Tower at Cira Centre South,2929 Walnut St
